No.,Object designation,Diameter,Impact date/time in UTC,IP,Close years
838,2017MD1,40,2072-02-10 03:09,0.000884833324689024,2067
840,2016TC57,14,2112-10-14 08:58,0.887971382186192,2112
842,2019RQ2,29,2080-12-24 05:24,0.248588586710179,2080
844,2008BN16,23,2083-01-21 22:33,0.248588586710179,2067
845,2021EP3,16,2113-03-16 06:32,0.000593041969700351,2101
848,2023CC3,15,2061-01-27 19:41,0.00323712829739068,2043
850,2012SU9,13,2111-01-11 14:09,0.704960540439676,2084
851,2017SS12,13,2089-09-24 20:32,0.112156654784615,2074
852,2019MT2,18,2109-07-07 03:28,0.00295376839162242,2109
853,2020SY4,12,2097-09-30 08:45,0.127258067550833,2069
854,2013HN158,40,2053-04-12 00:42,0.000250129970207278,2053
855,2022YY5,29,2070-06-15 04:08,0.000407287540465957,2070
856,2021VQ10,13,2055-11-07 13:22,0.000316816182198877,2054
859,2015QS8,15,2116-08-25 06:18,0.189041177063835,2116
863,2021RN,16,2105-09-02 05:35,0.00117137432599967,2105
865,2012HE31,23,2100-09-14 18:54,0.0000679780662828832,2046
867,2000SZ162,13,2070-06-22 13:43,0.151243457524941,2066
868,2011SE58,11,2055-09-27 16:11,0.00295376839162242,2042
870,2007VC3,40,2098-10-27 15:20,0.00635227743236995,2098
872,2020TD5,17,2118-10-09 03:13,0.0199614749360314,2118
877,2018LD1,19,2116-09-19 06:29,0.00212018999294598,2088
878,2022RJ2,14,2080-09-12 05:35,0.000593041969700351,2072
880,2006HE2,18,2081-10-06 10:21,0.00212018999294598,2065
881,2021VM22,12,2094-11-09 08:09,0.564473930053777,2090
883,2010VN1,8,2054-11-02 22:58,0.790314525730146,2050
888,2018JL1,16,2114-05-15 15:33,0.077956335335962,2112
889,2021WM4,10,2081-11-29 01:49,0.0533180642397214,2075
890,2009WJ6,11,2049-11-20 12:41,0.0000696495771847503,2049
891,2018AL12,40,2119-08-07 11:20,0.000884833324689024,2119
892,2005TH50,9,2055-11-30 08:15,0.630169626883105,2055
894,2010VO139,18,2065-11-11 01:19,0.813091511343353,2043
896,2021PM1,30,2056-10-03 03:15,0.000862474096287302,2056
898,2022SJ28,19,2116-10-04 21:32,0.0006360243254628,2104
901,2019FU1,12,2098-03-26 10:41,0.00288751837364092,2091
902,1998BT13,20,2032-01-23 07:46,0.000907857470812144,2032
903,1993HP1,14,2065-04-26 15:39,0.000127054732955551,2065
905,2014FE,11,2081-03-17 03:39,0.00168117147511774,2054
907,2021WL2,15,2095-12-17 17:10,0.0119983709105964,2092
908,2006DO62,7,2053-02-21 23:52,0.0618895399014256,2053
911,2011UR63,25,2110-10-19 04:03,1,2110
913,2021WZ1,16,2103-12-02 15:09,0.000359593964334705,2103
914,2017DP109,15,2086-03-02 03:43,0.000451810987847097,2057
915,2020TD8,14,2096-10-27 21:26,0.014719456800847,2096
916,2020YM3,22,2105-06-28 04:29,0.00017210950694328,2105
920,2021AL1,30,2105-05-13 01:04,0.0125057215416473,2105
922,2017UQ7,30,2121-10-24 04:16,0.0157126695092755,2096
923,2021EA,9,2058-03-02 22:56,0.0574175614422397,2058
924,2018MC7,20,2120-06-20 23:10,0.00137174211248285,2120
925,2015HO182,19,2046-04-10 22:49,0.00703927180201564,2046
926,2023GE,11,2122-04-07 01:26,0.23832942997372,2122
928,2010UE,4,2031-10-16 17:51,0.00194662092224905,2031
929,2019WU,14,2108-12-05 05:48,0.014719456800847,2073
930,2012MY2,19,2117-08-12 19:47,0.00282299546329906,2117
934,2019AK12,11,2119-01-14 15:09,0.0325207386932986,2119
937,2019KL,18,2062-05-25 19:41,0.2097152,2062
944,2014QN266,20,2078-08-23 17:19,0.000028852493411369,2078
945,2019UB2,24,2081-10-24 12:32,0.279081647233653,2081
946,2016EV84,16,2080-03-11 06:38,0.000220005503343508,2056
947,2016JN38,5,2039-05-02 02:58,0.00106349138144327,2039
948,2019KT,17,2110-05-29 17:33,0.00013052754787324,2110
949,2021GW6,8,2057-04-08 14:17,0.000377348267787504,2057
951,2018EZ2,17,2118-03-15 11:52,0.000483048461609672,2118
952,2021GW1,11,2082-03-29 23:40,0.00658154902509555,2082
954,2017RX17,19,2085-09-05 19:36,0.248588586710179,2040
958,2020AR1,13,2121-01-14 11:12,0.0386215161362424,2072
959,2017OO1,40,2115-07-22 15:14,0.0000797581172246385,2115
960,2018EL4,30,2115-03-08 16:19,0.26333125430608,2102
961,2016CE31,11,2119-07-24 04:38,0.410442254667416,2101
962,2017YC6,23,2080-12-28 04:19,0.0100253336914072,2080
963,2021SF1,13,2103-12-05 17:43,0.0461000262957956,2091
965,2016TT,22,2088-09-26 13:02,0.375937039923093,2062
966,2022BF,13,2099-01-27 12:20,0.00110519183013556,2097
969,2015EG7,12,2093-03-23 07:39,0.00216636297444126,2090
971,2015VN64,11,2088-11-03 17:21,0.00124222699842117,2088
972,2022DA3,10,2077-03-01 20:59,0.0294011941118581,2071
973,2013QM48,12,2097-08-23 13:44,0.037301249618461,2096
974,2021JF4,110,2064-11-01 23:14,0.000351286699041433,2064
975,2006BB9,26,2113-01-16 22:08,0.0778865658226494,2057
976,2022KC3,17,2115-08-21 17:24,0.00207516107234231,2105
977,2018WE,8,2057-11-20 08:57,0.0219396237257707,2057
978,2021FU,12,2088-03-27 09:02,0.00693405218771602,2086
979,2019SG1,10,2064-09-25 05:41,0.000156004231716639,2064
986,2017TT3,26,2059-06-14 23:36,0.000552484425582114,2059
988,2009SH2,40,2119-09-28 21:02,0.0116082665215718,2119
989,2022SH10,21,2120-09-17 10:04,0.0444762140328597,2120
992,2017RJ2,11,2119-09-18 10:52,0.00381308839273278,2102
994,2018DU1,10,2118-03-03 12:58,0.837484256683654,2088
995,2022YL,19,2115-06-21 09:56,0.000134111612374497,2115
1001,2006UQ216,12,2115-02-15 16:24,0.0461000262957956,2077
1002,2019CM5,9,2099-02-02 02:43,0.534640836088791,2065
1005,2022TX1,70,2111-09-16 04:13,0.0604913455519821,2109
1006,2016GS134,10,2070-03-31 14:20,0.000948977469654014,2070
1007,2021UG2,9,2103-10-27 13:38,0.0325207386932986,2075
1008,2017KB3,30,2117-11-22 07:01,0.000332271019108758,2100
1009,2020DQ16,10,2103-02-18 23:15,0.0513968983865085,2080
1011,2019UB8,6,2057-10-30 11:35,0.564473930053777,2053
1014,2022QD8,25,2102-09-02 18:03,0.000862474096287302,2102
1016,2009SU104,27,2109-01-28 19:47,0.0019987389916127,2109
1017,2014UY57,13,2090-10-15 02:32,0.000279859114483238,2079
1018,2020FD,10,2043-03-19 00:33,0.279081647233653,2027
1019,2020PC,9,2074-07-16 18:50,0.121974749171017,2056
1021,2014EU,10,2117-03-03 00:51,0.197866479191792,2083
1023,2021YB,11,2120-12-22 12:13,0.0810846174955253,2099
1025,2016TQ54,12,2096-10-02 20:54,0.000803076537289195,2082
1026,2015JC1,14,2068-05-11 22:46,0.583490395262134,2068
1027,2021CD,13,2118-01-28 14:31,0.00129224312106201,2118
1028,2022OC4,11,2113-11-14 02:18,0.0151643449682759,2087
1030,2019VE4,9,2091-10-30 05:31,0.0205968021154495,2091
1035,2005UC3,13,2109-10-05 05:18,0.00035389378068755,2074
1036,2021OE1,20,2091-08-03 11:37,0.128904005152438,2091
1038,2021WU4,40,2087-05-27 04:36,0.0961970187704765,2087
1040,2022SJ9,12,2071-12-20 04:08,0.0000390122521423712,2071
1041,2008CM74,9,2091-07-03 10:26,0.172731366904268,2065
1043,2011EM40,9,2054-09-12 21:11,0.000101511221535962,2054
1044,2012UE,7,2053-10-20 13:58,0.000788541604642258,2040
1050,2018CN,18,2082-02-07 23:46,0.00084075826090919,2082
1051,2018HW1,24,2116-04-22 00:56,0.198338116270918,2116
1052,2010CK19,9,2116-08-19 13:35,0.197866479191792,2089
1054,2022AY6,19,2084-01-19 03:37,0.000182733115011371,2084
1055,2013CY,8,2098-11-29 14:26,0.837484256683654,2078
1058,2009WZ53,50,2084-05-22 14:10,0.0000534307353834417,2041
1059,2015VL64,8,2097-11-02 16:40,0.11694557005545,2081
1060,2020WT4,10,2062-11-01 21:59,0.000682685368089661,2062
1062,2020XP3,40,2119-12-14 09:40,0.0677603615458713,2119
1063,2016FE15,6,2068-03-28 04:50,0.0294011941118581,2062
1067,2020GV2,15,2078-04-10 02:22,0.0509518531607595,2077
1070,2020UQ3,60,2112-07-26 16:17,0.0143353608329685,2112
1071,2010XU,30,2116-11-14 11:40,0.000799174497323679,2081
1072,2022WE7,9,2111-11-30 10:10,0.00106349138144327,2091
1073,2016HF3,40,2078-05-19 21:36,0.676839362028687,2078
1074,2019LA2,16,2109-12-04 18:15,0.198338116270918,2109
1075,2020UA,7,2076-10-19 12:53,0.0325207386932986,2070
1077,2009WQ52,8,2037-11-19 14:47,0.110396684324775,2037
1079,2018RJ3,10,2070-09-08 03:27,0.000195754349150897,2070
1082,2005TK50,6,2106-03-15 17:20,0.0233856992828804,2054
1085,2022GW2,9,2073-04-20 18:52,0.000733389349916038,2073
1086,2018FG1,12,2107-03-22 16:32,0.0000483072458964336,2101
1090,2015KH160,18,2119-10-05 10:24,0.090642077733687,2087
1092,2018VP1,2.4,2025-11-02 05:08,0.00564299835852431,2024
1093,2020BJ14,50,2082-01-02 06:10,0.000878746603478664,2082
1096,2020DO2,15,2088-02-12 12:27,0.000347470422131716,2083
1097,2020SX6,13,2117-09-23 17:49,0.00013052754787324,2078
1099,2020FG,9,2107-03-22 19:42,0.000156004231716639,2103
1100,2020HV5,25,2091-04-07 15:47,0.0000632147602971388,2091
1101,2021XX4,7,2118-12-14 13:21,0.0461000262957956,2118
1102,2012WR10,7,2096-07-24 10:29,0.334897976680384,2081
1103,2014KW76,9,2115-05-29 14:32,0.000444373934559197,2104
1105,2021GE6,6,2056-07-08 13:52,0.015625,2056
1106,2020KS,24,2120-11-30 00:57,0.00321972663029675,2079
1107,2010VQ98,8,2117-09-27 07:38,0.207176211033003,2117
1110,2016FC1,5,2082-03-11 08:31,0.0284399318117886,2082
1112,2017WY27,9,2116-11-25 18:02,0.00246937232060903,2062
1114,2020FU2,7,2098-03-20 15:23,0.0116596155724473,2098
1115,2021AC2,9,2079-04-06 17:55,0.000210521695791139,2079
1116,2017UW5,6,2081-10-11 00:22,0.00451221055793765,2081
1117,2020SL6,9,2108-09-28 00:40,0.000112701999218967,2108
1118,2008CE22,19,2120-02-08 16:57,0.0613332701808666,2120
1119,2017UC52,50,2112-11-26 08:24,0.00036473862787463,2101
1121,2015PS228,6,2080-03-11 08:12,0.666342223816512,2080
1123,2009XR1,5,2038-01-24 00:44,0.000880612540921042,2038
1125,2015SK7,6,2059-09-21 21:10,0.000475009002025941,2059
1126,2016DY30,2.8,2036-02-26 00:12,0.0257687327809069,2036
1128,2022OR,110,2107-08-14 13:28,0.000062833523874671,2107
1129,2020YA2,8,2121-12-10 01:06,0.0461000262957956,2120
1130,2013NR13,25,2114-07-14 21:45,0.0000386371313931427,2114
1132,2014UA176,15,2078-11-08 14:30,0.0224543698466526,2078
1133,2012TP20,10,2079-10-02 13:01,0.0000696495771847503,2064
1134,2014OP2,5,2071-07-25 14:13,0.0119983709105964,2071
1136,2021XQ4,16,2081-05-26 15:39,0.000122755230541215,2054
1137,2017FA159,7,2024-06-20 13:33,0.000552484425582114,2023
1139,2019QS,40,2096-02-20 20:57,0.000205502570211407,2096
1140,2021RO16,17,2101-04-24 12:59,0.0425306904459211,2101
1142,2012DY13,9,2074-08-23 20:59,0.710681330130121,2074
1143,2002AN129,22,2111-05-04 04:23,0.000266799449136778,2111
1144,2016BQ15,30,2072-02-07 09:07,0.000108553867186893,2072
1145,2019YE,16,2112-06-16 03:05,0.0224543698466526,2112
1146,2018MC5,30,2119-07-02 18:21,0.0000308269014279491,2119
1150,2017WF30,18,2031-02-21 21:49,0.0157588944311414,2028
1151,2016TH,5,2081-03-31 09:33,0.942045235254207,2072
1152,2019EH1,3,2064-08-21 03:58,0.630169626883105,2051
1153,2017VF14,7,2093-11-13 16:45,0.000788541604642258,2080
1154,2018BX5,6,2113-01-16 03:11,0.564473930053777,2087
1155,2021AZ6,19,2117-07-19 12:44,0.000819665065295941,2117
1156,2020NY,21,2114-07-10 07:49,0.000190391511062863,2114
1158,2016WN55,25,2084-04-24 13:55,0.0000405918648451133,2084
1159,2020XC,6,2085-05-05 18:30,0.249906026501357,2085
1160,2021LY1,8,2040-06-03 18:39,0.010396601529183,2040
1162,2010UZ7,40,2111-10-17 17:29,0.0001234793310423,2111
1163,2016UR36,11,2121-03-30 16:55,0.710681330130121,2107
1165,2021UT,5,2053-10-22 18:36,0.000967024060959775,2053
1166,2007EE26,22,2100-02-13 22:04,0.000389073249041726,2100
1167,2010BO127,500,2059-09-21 04:06,0.0117153162437572,2059
1170,2021BN,8,2108-08-04 06:16,0.00198840730548176,2079
1171,2021BO1,5,2077-01-20 03:49,0.00750497699114282,2077
1172,2021WC1,7,2077-11-28 22:02,0.0000807475848969225,2063
1173,2022DO2,9,2113-02-24 15:38,0.000255421210872864,2107
1176,2021BL2,7,2038-01-14 07:04,0.0145493091444458,2035
1179,2021JB6,6,2112-05-15 10:52,0.0219396237257707,2112
1180,2009EJ1,8,2039-11-09 05:52,0.00555219789164157,2039
1182,2012BN123,80,2074-01-02 04:21,0.0767954043276289,2074
1183,2020FM1,5,2109-03-17 17:42,0.48031852743314,2071
1184,2008SH148,21,2081-10-11 00:10,0.0143353608329685,2034
1185,2021TG14,8,2114-10-19 20:21,0.0000548650537910683,2102
1189,2003UM3,9,2086-10-13 02:16,0.151043113886864,2055
1191,2017UQ6,13,2080-08-25 06:46,0.0287901139446797,2080
1192,2006BO7,5,2060-05-22 22:10,0.000429924008251063,2060
1193,2007WT3,50,2101-11-08 01:23,0.167017325121056,2101
1194,2010UB,40,2116-10-29 07:27,0.0108617213603513,2116
1195,2022OC5,13,2111-05-04 12:28,0.0313395721868954,2111
1196,1994XM1,8,2117-12-08 23:35,0.0000317381864102,2117
1197,2006WV,13,2082-11-22 10:00,0.000113666477690983,2082
1198,2020WA1,7,2059-11-20 16:47,0.0533451430891614,2051
1199,2021VY7,5,2054-05-10 21:11,0.0000807475848969225,2044
1205,2022AB4,15,2119-01-13 15:27,0.00183423193412099,2107
1206,2023EE2,7,2113-03-11 06:59,0.000167317900097417,2065
1209,2005AU3,23,2116-01-06 16:05,0.923483222482312,2097
1210,2022RD2,7,2114-11-16 03:23,0.00440370563010614,2084
1211,2016FA14,12,2077-03-29 05:36,0.000113666477690983,2072
1213,2021NU3,6,2093-07-08 10:38,0.0000456316284635415,2093
1217,2018XX3,4,2088-12-10 14:21,0.334897976680384,2088
1218,2021AP6,16,2104-02-15 01:53,0.00121203859310971,2104
1219,2008GF1,8,2080-04-07 12:21,0.0948645061642198,2080
1220,2017FS,6,2119-09-04 05:30,0.0000441093041140479,2119
1222,2020QC,11,2041-08-19 03:00,0.102137887755746,2041
1223,2021CD8,7,2099-01-29 23:57,0.000279859114483238,2085
1224,2017TD6,13,2081-10-19 17:38,0.000220237042016828,2081
1225,2004XO63,22,2065-12-15 01:23,0.0300155575286731,2065
1227,2008CB6,14,2101-04-28 09:18,0.000884833324689024,2101
1228,2013EC20,6,2090-07-14 00:28,0.00164680457970466,2090
1229,2008US,1.9,2044-04-17 04:53,0.014719456800847,2042
1230,2016AQ164,4,2035-01-10 07:42,0.26333125430608,2035
1231,2016DF1,50,2118-07-28 01:37,0.332884833382522,2118
1232,2022UA5,4,2072-07-23 12:02,0.0721123769626371,2072
1234,2020BY11,9,2120-01-25 21:04,0.333195377555726,2120
1235,2020HN3,4,2118-10-22 06:19,0.3898385917402,2092
1236,2008EK68,4,2063-03-04 09:13,0.942045235254207,2029
1237,2021GU12,9,2097-04-06 23:18,0.0948645061642198,2047
1239,2019KY3,17,2097-06-01 06:24,1,2097
1240,2023CG4,5,2108-02-07 18:15,0.0006360243254628,2108
1241,2023BZ,16,2026-12-28 09:44,0.591898463530025,2026
1242,2011DE5,18,2106-02-27 00:14,0.789409234313936,2106
1243,2013VJ13,60,2099-10-30 09:28,0.000733257025198125,2099
1244,2019GP21,4,2101-04-02 01:11,0.0165962075885945,2072
1245,2021XC2,4,2085-12-05 23:16,0.00641316022917837,2082
1246,2022AO1,4,2114-01-05 17:59,0.00231208521750027,2113
1247,2020SC,16,2092-09-16 09:03,0.0434416464570819,2079
1248,2016JA,11,2118-09-27 09:20,0.0264749426443175,2074
1249,2012CS46,10,2106-02-27 10:22,0.0509518531607595,2095
1251,2022SZ9,8,2090-10-06 17:27,0.759917813202063,2090
1253,2022JK2,9,2081-05-03 16:04,0.0120474478531932,2081
1254,2020DP14,3,2083-02-17 14:09,0.18067170965114,2056
1255,2023CH3,60,2120-03-18 22:00,0.0484002582470509,2116
1256,1993KA2,6,2060-11-10 00:22,0.000671075864717302,2060
1257,2019JH7,4,2114-05-17 11:03,0.00791611126839563,2114
1258,2022CB3,2.8,2087-02-07 04:58,0.0123486644645335,2075
1259,2009VT1,4,2081-10-11 00:46,0.000593041969700351,2064
1260,2019UN8,4,2105-05-30 02:00,0.000093964313184754,2097
1261,2021XV4,7,2103-05-31 10:33,0.0176628175895042,2090
1262,2022BO1,11,2119-01-29 04:02,0.000146412131180326,2119
1266,2021WU,21,2106-11-24 21:43,0.00163516316619182,2106
1267,2005WN3,4,2024-04-15 09:46,0.00459146659682718,2024
1268,2021XK3,13,2062-11-30 22:12,1,2062
1269,2019SO6,26,2077-02-06 14:41,0.500248967131459,2077
1271,2011CA7,3,2062-02-19 17:27,0.000914049689734585,2062
1272,2021VN3,2.7,2069-08-26 19:38,0.014719456800847,2069
1273,2021LK6,7,2086-06-10 02:46,0.00388377519998544,2081
1276,2022GB,5,2122-03-31 21:28,0.000733389349916038,2121
1277,2007WW3,60,2031-11-14 16:29,0.1073741824,2031
1278,2018LE1,10,2102-05-26 20:55,0.00183423193412099,2102
1280,2014OQ392,110,2104-10-12 08:37,0.00212952486780452,2104
1285,2022WC11,8,2119-11-21 17:48,0.0389242389317142,2118
1286,2022CL7,4,2122-02-14 07:39,0.000774312661253467,2067
1287,2020DN3,15,2107-02-25 02:47,0.266038163730505,2107
1289,2021GL16,20,2111-04-09 02:26,0.130401419085844,2111
1290,2015FH37,40,2115-03-30 12:28,0.031199238013293,2113
1292,2022BK7,80,2075-01-10 12:38,0.558394776915118,2075
1293,2019JX1,5,2102-05-03 08:33,0.333195377555726,2102
1296,2020KJ4,4,2106-05-27 02:37,0.00497860652672433,2078
1297,2021LL15,19,2074-05-25 23:56,0.000250038643111735,2074
1298,2013NJ4,12,2108-07-09 11:14,0.00006103515625,2108
1299,2021UL7,24,2114-04-04 13:49,0.00308362982153881,2095
1301,2023ET1,4,2111-11-11 21:22,0.000123689238568682,2089
1302,2022OK,8,2120-07-20 15:28,0.099746208895137,2120
1304,2021TK11,7,2067-10-13 17:32,0.000479166173288021,2064
1305,2020TG6,5,2059-10-19 00:48,0.0000471697226869632,2045
1306,2022KF6,24,2106-05-31 17:22,0.0000339102846798935,2106
1307,2022UN1,12,2075-10-17 13:58,0.00519447341523691,2075
1308,2021DN1,8,2121-02-19 15:01,0.00400904779867739,2121
1309,2022UE61,9,2120-10-11 19:59,0.000623486024057146,2117
1310,2012EZ1,6,2107-11-07 03:48,0.00899927452978128,2057
1313,2020TW,11,2112-09-28 16:13,0.0000487921143763658,2112
1314,2017QJ2,20,2062-02-13 08:09,0.307507942851545,2062
1315,2022KO3,9,2116-05-28 11:56,0.000190391511062863,2098
1316,2021TN14,7,2120-10-14 08:50,0.00441348711541201,2089
1318,2016NC56,14,2114-07-08 11:21,0.0350954888744483,2114
1319,2021BP1,4,2118-01-14 05:26,0.0000483072458964336,2110
1320,2007EE126,27,2092-07-24 22:41,0.0000733613999191561,2090
1321,2010SK13,12,2084-02-24 22:27,0.000464382602724028,2084
1323,2022SO11,14,2095-10-06 07:49,0.00182229445394427,2095
1324,2019DF,4,2059-02-25 15:11,0.0264749426443175,2059
1326,2009QR,12,2069-08-25 17:17,0.0411632685777628,2069
1327,2019FT1,14,2113-03-24 02:24,0.0221509823858029,2113
1328,2019SM8,5,2061-10-01 13:16,0.0000513467550710095,2061
1331,2010XP,18,2086-12-09 11:26,0.0075900384825083,2086
1333,2021GM1,2.9,2117-02-01 23:29,0.00770734662925894,2117
1334,2020YG2,40,2109-10-15 09:38,0.00163428762865754,2109
1336,2017JB2,5,2122-04-29 19:44,1,2122
1338,2017SA21,8,2056-09-27 16:06,0.376159861722249,2056
1339,2019UX12,6,2107-10-27 10:01,0.000741128954407967,2107
1340,2016VA18,7,2052-05-01 05:08,0.080581521404945,2038
1341,2022FA1,5,2116-08-26 12:16,0.0100253336914072,2116
1342,2021UL3,7,2116-10-20 15:38,0.000593902427910967,2116
1345,2016WW2,6,2107-11-24 21:41,0.00364641386060775,2098
1347,2018BP3,6,2099-01-22 15:00,0.000539419519111663,2099
1348,2017BK30,13,2085-02-11 16:09,0.000525454376173713,2085
1350,2016QY84,18,2042-05-06 00:28,0.000774312661253467,2024
1351,2017RX2,18,2066-09-16 04:08,0.332884833382522,2066
1354,2017FD3,10,2087-03-18 00:20,0.023283064365387,2087
1356,2015FC345,10,2091-07-13 19:43,0.266038163730505,2085
1357,2017UJ2,2.4,2112-06-22 15:53,0.00246937232060903,2061
1358,2015KW157,24,2061-05-09 20:47,0.144279568083215,2042
1359,2022OJ5,6,2118-08-01 12:11,0.000272635461585462,2118
1360,2020RK,30,2101-08-31 22:05,0.000107601484102072,2101
1361,2019BV2,28,2120-08-03 20:49,0.000763524944218083,2120
1362,2022UC14,4,2120-10-25 05:16,0.279081647233653,2120
1363,2008JL24,4,2111-01-05 11:56,0.0902539486176119,2096
1367,2012XB112,4,2118-06-04 19:41,0.177635683940025,2118
1368,2019ES2,24,2094-03-27 06:44,0.0230891374174002,2094
1371,2020QR5,12,2108-08-24 13:28,0.000223394118553036,2103
1372,2016EU84,6,2113-02-27 13:27,0.0000923869327086624,2113
1373,2019UO8,5,2106-10-27 20:27,0.403883227979369,2106
1375,2020LO,15,2065-06-03 20:49,0.225456070958055,2065
1376,2020DM3,20,2109-07-03 04:52,0.000423901434175803,2109
1377,2017TU1,21,2104-08-05 07:12,0.00617143259110868,2104
1378,2022UQ40,8,2066-10-24 10:37,0.000333771128975053,2057
1381,2014HE197,25,2068-09-04 13:54,0.675564168825799,2051
1382,2016AF2,10,2103-03-29 08:51,0.000333771128975053,2093
1383,2021VH,4,2120-04-02 09:18,0.00173315831159962,2120
1385,2021VR4,18,2098-11-25 07:21,0.0331760210520316,2098
1386,2019UN13,1.3,2111-11-01 04:11,0.00124222699842117,2109
1388,2021GZ7,6,2094-04-05 22:24,0.0604913455519821,2080
1389,2019GK3,4,2103-03-31 17:22,0.000031823530479904,2103
1390,2017KJ32,6,2080-07-05 16:44,0.0511747797419905,2080
1393,2019QD,6,2112-08-21 17:03,0.000822526333996995,2112
1394,2021KN2,7,2083-05-31 22:40,0.000250038643111735,2083
1396,2008UM1,1.6,2073-10-20 14:07,0.122366804940477,2073
1398,2021BW1,18,2093-12-25 17:47,0.000862984442343148,2093
1399,2022GQ,3,2102-11-23 09:57,0.00095599066359748,2101
1401,2022YX1,7,2115-06-23 12:45,0.00163516316619182,2091
1402,2021BR2,2.4,2113-08-24 23:57,0.0300339456486193,2113
1403,2021XD6,7,2115-12-11 06:36,0.00478325031853537,2103
1404,2021SP,5,2033-09-17 11:59,0.460427779516301,2033
1407,2020YS2,2.2,2121-10-01 17:19,0.759917813202063,2105
1409,2011WQ4,12,2097-01-10 00:00,0.307507942851545,2097
1411,2016VH,16,2115-10-24 09:36,0.0153966373686619,2115
1413,1995UB,13,2121-10-18 05:05,0.0260122948737489,2121
1414,2020HE7,6,2103-04-22 13:57,0.00588804597472216,2071
1415,2022BM3,4,2097-01-24 05:20,0.080581521404945,2097
1420,2021XF1,4,2086-12-06 01:08,0.00519447341523691,2073
1421,2007EK,5,2111-09-08 12:39,0.00333394676246137,2111
1424,2013RZ53,2.1,2099-01-29 23:09,0.00252653293602198,2096
1426,2015HZ182,12,2112-04-12 02:08,0.385543289429531,2089
1428,2022TP,20,2075-09-30 19:31,0.0279665970705546,2075
1430,2007VF189,8,2072-11-13 16:55,0.00125900178948789,2072
1431,2009SH1,5,2118-09-16 03:54,0.248670523630712,2075
1432,2016DB,7,2059-05-01 14:19,0.000763524944218083,2059
1434,2020BA15,12,2051-01-28 07:08,0.078361528204942,2051
1435,2022RS1,10,2113-09-01 09:45,0.0230891374174002,2113
1438,2012BV1,2.3,2083-01-18 13:49,0.248670523630712,2083
1442,2018KY2,13,2075-05-26 16:18,0.00755307776204077,2075
1444,2009VZ39,8,2112-11-14 05:56,0.000364625146671645,2112
1449,2022YM8,25,2094-10-11 15:08,0.000571709550222273,2094
1451,2017VN2,12,2110-11-21 03:51,0.00350649579040266,2110
1455,2022BD1,5,2122-01-29 04:57,0.000394056822987739,2122
1457,2019HR2,6,2097-04-23 16:19,0.000178861364631141,2097
1460,2012AQ,2.6,2121-12-23 08:16,0.000692303529013449,2121

